id_a,id_b,name_a,name_b
41565,46784,OSGEPL1,RAD17
16844,26928,NAE1,XRCC6
27708,44099,ZBED4,NASP
34023,10730,KRAS,EIF3G
34953,15548,ABCC1,RFC5
15123,34785,ZNF212,ZNF282
8164,39887,E2F1,UBE2C
1444,21124,BCR,CRYBB2
50805,10751,EIF3D,POLE
40344,38126,G3BP1,HRAS
38126,23690,HRAS,MTBP
48729,38126,EIF4A3,HRAS
41928,16660,FASTK,SCAMP4
43751,22410,ARIH1,EXOSC4
11570,6042,ETAA1,CISD3
32400,50823,ABCC10,BCKDK
21124,26198,CRYBB2,CYP2C19
18562,38126,ATP1B3,HRAS
26198,43577,CYP2C19,SV2B
16844,49164,NAE1,UBE2Q1
24012,52511,MUL1,SSBP1
8531,16844,C19orf53,NAE1
26198,15740,CYP2C19,PPP1R2
41103,31747,CHEK1,RRM2
16844,33404,NAE1,TP53INP1
48935,38919,S1PR2,SLC22A1
40464,41140,MDM4,PDE7A
35850,43577,BUB1,SV2B
47469,12005,CMPK1,MAP3K7
18295,36443,CDK1,RPL13
18835,30383,BRCA1,USP11
43626,49873,HOXB5,HOXB7
34023,1776,KRAS,UBE2U
32317,45651,KMT2E,SDHB
19793,15824,GNPAT,LEO1
50391,34023,DIXDC1,KRAS
30825,29674,PTEN,KAZALD1
21613,28478,ASCC3,NRAS
35470,11089,CKAP5,PMF1
46229,36522,DHX37,HECW2
27700,42786,MCM2,RAB27A
16844,27161,NAE1,TBC1D12
34102,9902,NARS2,SS18L1
40913,27703,CYP19A1,FBXL14
38186,6166,HMGB1,MYBL2
30561,7076,UBE2N,FUS
42880,34375,MGAT4B,TPO
13525,47749,RAB28,PIK3CA
11099,9848,CLEC2D,DDR1
23366,11755,DAPK1,NUP62
12342,16844,L3MBTL4,NAE1
15964,53017,HIF3A,SLC22A2
28442,42872,ATP5MG,BUD13
10600,10723,SUV39H1,MYC
28135,17523,HNRNPU,PARP1
8654,16844,CDT1,NAE1
40375,13062,CHMP2A,GTF2H4
31932,53377,CDC45,GINS3
28478,37801,NRAS,SRR
38150,53953,TMEM44,TP53
50923,30873,ANLN,SETBP1
28562,28592,NOL11,ZNF670
39043,53638,CSK,LY6G5B
47443,28478,LMO3,NRAS
28102,50,CYP2D6,ZNF140
42114,6461,GRHL2,TPM2
41521,45504,FBXW7,CTDP1
34023,51750,KRAS,NAA15
26198,48878,CYP2C19,IRF7
47624,50955,KIF20B,WAPL
18757,45277,P4HA2,S100A13
15548,47459,RFC5,SMC3
23578,10651,TCEA3,TWIST1
16844,1666,NAE1,PCNA
25387,28478,DHX30,NRAS
46975,41448,HAUS5,LIG1
34023,42002,KRAS,PITPNM3
28478,3566,NRAS,TRIM21
3722,14743,FLI1,PIK3R1
39150,18835,RHPN1,BRCA1
38022,42411,CHFR,SNTB1
11439,16844,CYBA,NAE1
15438,51439,PSMA1,UVRAG
25450,14256,CYP2C9,TJP1
35222,11003,CPSF1,CYP1A2
4113,19543,BLM,TRIM8
1195,16844,INTS3,NAE1
11771,16844,DZIP1L,NAE1
31932,38126,CDC45,HRAS
5719,716,PPP2R1A,TUBGCP3
43751,15824,ARIH1,LEO1
15430,4113,TUBA1A,BLM
39392,46813,SF3B1,SPAG7
49201,1040,CENPM,EFR3A
92,34013,CREBZF,IQCB1
41456,16844,CASP6,NAE1
44930,19152,ABCG2,ATF5
12374,28662,ILF3,MED26
48980,25614,AKT1,AR
46298,50247,PRC1,PTPRN2
11003,45698,CYP1A2,PGLS
33286,18978,ATP6AP1,WDR61
10723,51290,MYC,UTS2
47081,40496,HGSNAT,RNF149
34023,25148,KRAS,MICAL1
19034,22471,MUS81,CFL2
32460,46419,NFKB1,NFKBIA
40662,30825,ZFHX3,PTEN
16250,2389,XAB2,E4F1
716,29485,TUBGCP3,VPS72
34102,29949,NARS2,CDH1
34023,7968,KRAS,PFDN6
1153,17365,GLIPR1,KIT
1395,25068,DDAH1,KRT15
32400,41611,ABCC10,SMO
47610,34662,BAX,MCL1
48312,18436,DCK,PSMB4
10604,34023,NOL3,KRAS
41640,27304,AANAT,CDK12
44930,50366,ABCG2,TRIM24
52477,26282,ABCB1,EDF1
41265,36115,ABLIM3,MT2A
13615,5776,TERF2IP,ZFP1
20736,4585,NRM,TUBB
41362,47496,ANKLE1,TSC22D2
27526,3498,NEMP1,CKS1B
38126,3752,HRAS,SQSTM1
19034,40528,MUS81,SF3A2
43903,13251,PDGFRB,STAT5B
19034,27008,MUS81,RAB11FIP2
4961,50820,KCTD10,POLD1
53841,7177,CAPNS1,TXNDC5
51488,46881,SPTLC1,RIDA
39043,4564,CSK,PHACTR4
6804,46577,ABCC4,PER1
35685,28478,NOL8,NRAS
1444,16301,BCR,CACNA2D2
38989,16844,KLHDC2,NAE1
10720,36078,HAUS1,ENY2
52919,31798,NUP54,HAT1
31754,716,POLR2B,TUBGCP3
28562,20652,NOL11,TRMT10C
16502,23742,CENPP,NACA
19017,50280,PDPK1,TYMS
38126,34492,HRAS,PLG
12005,16903,MAP3K7,RRM1
44930,42349,ABCG2,RARA
47763,27251,TOP2A,CDC6
20169,29272,FN3K,TYK2
11564,3984,ITPA,MRPS26
17442,53953,CDC42BPA,TP53
11003,28993,CYP1A2,NUDT3
39562,47749,CDKN1A,PIK3CA
10748,21641,LARS2,PIK3CG
27351,1118,NTRK1,PRMT8
34023,14723,KRAS,MADD
50496,16931,MTRF1L,ARHGEF12
32586,6461,ITPR2,TPM2
31506,47203,PHF6,ZNF280C
28069,11249,TXLNA,MBD3
21879,4686,AVL9,TBRG4
53789,30924,CLPP,CSNK1G2
33707,52805,EXOSC2,HNRNPA3
48995,22608,LGI1,TTPAL
50559,35439,IGF1R,KCNQ4
50760,19010,BCL2,CBR1
13088,22885,ERBB2,PDGFA
46901,11649,RC3H2,SLC5A6
134,13061,CDK4,ERCC1
3796,3637,DCAF15,POLR1B
52814,28478,EPB41L4B,NRAS
46368,38907,CPNE1,HSP90AB1
32339,53870,DCTN4,TRRAP
50648,34023,UBAP2L,KRAS
34023,5279,KRAS,DCAF16
34023,18541,KRAS,GLIS2
34023,4470,KRAS,BRIP1
48393,40464,CHEK2,MDM4
51883,44515,RSPH1,RTN4
27749,33626,HOXA9,MLPH
4778,16903,RAD9A,RRM1
22577,39392,CCAR1,SF3B1
16844,14777,NAE1,STK11
18295,27756,CDK1,STIL
34023,21925,KRAS,RTTN
47610,43826,BAX,XIAP
33681,4761,ABCB11,ADA2
51345,21880,CDA,MAPK10
50089,26797,SENP2,UBXN4
33372,15966,PNO1,YIPF4
11111,44060,ATXN1,MBOAT7
36707,52049,PELO,POLA1
4095,4323,NR1I2,PDE3A
18559,26434,GRB7,GJB3
53953,18651,TP53,CDK9
17300,38126,CS,HRAS
53729,19737,ADIPOR1,ARF1
38126,36617,HRAS,MED13L
16654,24226,PTTG1,PRKCQ
26743,41535,AURKA,NOLC1
26522,30825,KCTD8,PTEN
32429,12944,PSMB6,PSMD4
47469,6965,CMPK1,EPHA1
18205,34023,OTOF,KRAS
16389,32429,MRPL39,PSMB6
46297,1782,NPTN,LPP
34023,50023,KRAS,FNBP4
4149,23227,FOXL1,GH1
25450,33405,CYP2C9,EGR3
40256,12772,FABP4,PIK3C2B
38136,10481,DHRS13,AFDN
10111,13268,EXO1,KIF14
46379,41448,HMGCR,LIG1
6085,11747,PTAR1,TRAPPC13
28254,29755,CIT,SLC16A8
15548,6542,RFC5,SLCO1B3
30286,23742,MRPS10,NACA
51285,2568,MRPL54,RNF126
21775,7965,ABCA3,MAPK11
32400,2149,ABCC10,SNRK
24592,34023,GIMAP2,KRAS
22738,34023,RYR2,KRAS
34023,9628,KRAS,RPL35A
51724,4391,ZFP28,ZNF582
32400,6937,ABCC10,CSNK1D
48018,45495,DPYSL3,PCBP1
22574,6218,ACO2,UQCR10
51488,6395,SPTLC1,UBC
7610,25450,CCL23,CYP2C9
34801,9753,PPP3CC,TRIM35
34023,1979,KRAS,ULBP2
40739,51352,FANCM,RAD52
48971,28478,MAGEC3,NRAS
39043,497,CSK,UBXN1
39043,11253,CSK,SEC61A2
6468,10723,GSC,MYC
53085,39392,MLLT10,SF3B1
53442,35439,HMGA1,KCNQ4
6457,11899,SUPT20H,MRPS31
42380,18835,CLDN11,BRCA1
11003,49639,CYP1A2,SNX10
38126,32739,HRAS,RAD23B
51594,14550,GRB2,STMN1
16844,11293,NAE1,RGS7BP
34835,33265,CELF3,HRH3
37944,38126,CCHCR1,HRAS
5513,19196,ZC3H4,RBM14
34724,20693,CALM1,PTGS1
38692,3974,POLD4,WRAP53
23026,716,MBTPS2,TUBGCP3
15824,20238,LEO1,WDR70
16654,51941,PTTG1,NDUFB4
39043,5665,CSK,TMEM64
6383,20693,PLEKHM1,PTGS1
34023,4189,KRAS,PPP1CC
19034,48225,MUS81,AKTIP
28102,22944,CYP2D6,WNT5A
41448,23479,LIG1,PPP5C
28971,11864,FARSA,PIN1
40011,34780,MFAP4,PTCD1
4113,33750,BLM,MAPK4
625,24325,TIMELESS,TLR5
2697,3878,C11orf58,NUDT21
32400,26743,ABCC10,AURKA
1096,44689,ERG28,TTLL5
39043,22603,CSK,VPS26B
8397,8243,KAT6A,ORM1
45958,36910,CYP3A7,LPAR1
50559,41374,IGF1R,MAPK12
21905,8243,CSHL1,ORM1
20229,41080,ACTN1,SERPINB6
39043,52845,CSK,AKAP7
26539,6542,PTPRD,SLCO1B3
45780,23802,IER3IP1,EIPR1
1665,29492,MTPAP,RPL10
16913,23053,CCDC84,EIF3M
34023,45494,KRAS,ZNF570
53953,21891,TP53,NELFCD
8670,18835,INTS4,BRCA1
4778,31166,RAD9A,RBX1
35985,28852,EXOSC9,PTCD3
20726,3974,DNTT,WRAP53
34023,2267,KRAS,PPL
30825,8654,PTEN,CDT1
38126,21010,HRAS,SYT14
13062,10723,GTF2H4,MYC
52097,34023,EEF1A1,KRAS
12108,38126,GID8,HRAS
22128,30924,ACY1,CSNK1G2
47574,790,NHP2,POLM
47720,16654,EBNA1BP2,PTTG1
46682,11786,ATP2C2,CYP3A5
1753,25867,HOXA13,BRCA2
3355,52919,FH,NUP54
32056,13996,RNF168,SLC39A1
50760,26539,BCL2,PTPRD
21417,48166,NAB2,SLC17A4
8160,34662,AKT2,MCL1
30305,40366,CD151,PFN2
38126,52801,HRAS,MARVELD3
35985,28725,EXOSC9,OGFOD1
16844,51638,NAE1,TOMM34
21775,45698,ABCA3,PGLS
21775,13416,ABCA3,TPM1
46025,10723,FHL2,MYC
41915,16844,EGLN3,NAE1
29433,4736,MARCO,SLC50A1
3815,30825,MYLK,PTEN
38126,2062,HRAS,USP39
42166,51050,NDUFA8,PSMC1
24480,50054,GFI1B,LIAS
45224,6166,TACC3,MYBL2
29150,34023,CCDC120,KRAS
9064,41611,MAP2,SMO
30305,33273,CD151,CHRM2
49106,2049,C1orf112,CDC25C
46605,47469,CDKN2A,CMPK1
7677,34023,RTN2,KRAS
34023,17968,KRAS,WNT9A
50823,23192,BCKDK,IL12A
31356,46405,POLR2K,SRFBP1
10622,10483,CALU,RFX2
41620,23802,RAB2A,EIPR1
53417,5949,DDX6,SMG7
30825,16022,PTEN,C20orf202
25884,33449,NCAPG,CDCA3
16654,12689,PTTG1,CDH22
16284,32810,ATG2A,TBL3
14993,21581,PIGO,SIGMAR1
12238,45995,SKA3,SRSF7
21775,50318,ABCA3,SRSF1
34724,28102,CALM1,CYP2D6
52477,21069,ABCB1,UCP2
44279,30825,NAAA,PTEN
34023,7683,KRAS,PNN
44098,25420,NSMCE4A,PSMB7
3722,25455,FLI1,NFKB2
28478,33500,NRAS,TMEM117
39043,14179,CSK,VPS50
39043,26698,CSK,MYH1
4113,33628,BLM,SEC13
44954,33595,MRPL50,TTC4
833,34023,ARF4,KRAS
34023,32717,KRAS,HTRA3
16654,22169,PTTG1,ELOB
9848,33405,DDR1,EGR3
39043,26233,CSK,SLC35B4
8733,5605,ZNF407,MEOX2
41834,2661,FAM114A1,RGS19
38461,48566,CEP152,MRPL32
28102,22672,CYP2D6,HLA-DRB5
8243,39587,ORM1,KCNH6
48980,7747,AKT1,PIM1
6787,35656,ANKFY1,MED17
18295,18651,CDK1,CDK9
429,18954,STRBP,EPB41
38126,10837,HRAS,TRNT1
41237,36916,CELF2,PDGFRA
17629,34023,PSEN1,KRAS
42254,703,MRPL12,WDR77
9064,26928,MAP2,XRCC6
18161,16844,FAU,NAE1
30825,18393,PTEN,LTC4S
38126,18733,HRAS,IFI6
4113,19077,BLM,SNRNP200
4838,46074,HOXC8,UFL1
19377,38126,COPS5,HRAS
11818,23424,BRAF,FNTA
15130,24480,CARS2,GFI1B
24922,16774,CEP63,MASTL
51839,35590,CAMK2G,PRKAA1
34522,21318,C1GALT1,RAPSN
26743,27021,AURKA,MRPL10
25978,2839,L3MBTL2,POLDIP3
28971,37125,FARSA,ANAPC5
28478,28143,NRAS,TMPRSS13
4761,30024,ADA2,MAP4
4405,52680,ATP6V0E1,CSTB
50805,6914,EIF3D,MED23
23781,43722,EMC4,FDPS
20154,3853,GLI3,HES4
39043,10050,CSK,ZNF165
21775,42349,ABCA3,RARA
29132,2837,ALB,SRI
26411,36707,MAPKAP1,PELO
29578,34137,ADORA2B,EMP1
23026,33430,MBTPS2,MED28
28478,38889,NRAS,ODC1
4113,40132,BLM,RAB29
46975,13836,HAUS5,MAP4K1
12656,1695,FEN1,SMPD2
8984,53454,CDC25B,KCNU1
34023,25573,KRAS,TIMM13
21461,17523,NLRP2,PARP1
41521,48844,FBXW7,RERE
44930,49794,ABCG2,IFI16
28254,53442,CIT,HMGA1
16913,34965,CCDC84,PDCD7
9389,6865,PRPF19,WDR74
45310,38398,ZNF665,ZNF91
4113,13919,BLM,ZNF142
8984,24157,CDC25B,PTPRZ1
9848,15455,DDR1,ITGB1
2196,28478,FAM3C,NRAS
51828,716,NOP58,TUBGCP3
34023,29221,KRAS,SPC24
30573,39876,ATP5F1C,SUV39H2
6804,3355,ABCC4,FH
34023,30648,KRAS,ZCCHC14
4113,46351,BLM,UBB
28478,33301,NRAS,UGT3A1
16248,9485,CLCN7,ZNF500
30611,38141,TOMM22,CCT2
16844,18340,NAE1,RNPS1
19004,57,TSPAN1,ADGRG1
49801,33477,SRC,LCK
34023,52439,KRAS,NKAP
44788,6722,CAMLG,NUDC
37853,23742,BUB1B,NACA
26263,34023,ALKBH3,KRAS
21746,2418,CD46,SRP9
31515,30825,GNE,PTEN
40913,4778,CYP19A1,RAD9A
17426,18835,ACER3,BRCA1
38126,25286,HRAS,RAG2
34023,6606,KRAS,SF3B2
46813,1629,SPAG7,TUBGCP5
33437,28494,FTSJ3,METTL17
25867,50559,BRCA2,IGF1R
28254,44451,CIT,TRPM7
18810,40541,CYP3A4,GTSE1
13315,53120,CASP8,TNF
39043,51040,CSK,HTR3D
27730,28478,HAUS4,NRAS
2568,33493,RNF126,SLC39A3
37685,22540,ADRA1D,FKBP8
20168,43903,PDE6H,PDGFRB
39043,52756,CSK,STK33
19034,20006,MUS81,NCK1
18804,33228,FLT3,MAPK8
39241,15084,CMAS,HYPK
28254,7747,CIT,PIM1
479,38126,HCN3,HRAS
14721,40619,CKAP4,RILPL1
30825,35892,PTEN,NOTCH1
4113,31201,BLM,PELP1
26198,11778,CYP2C19,FLT3LG
6400,30825,XIRP1,PTEN
19034,8970,MUS81,AP2A2
23711,52087,RABGGTB,XRCC3
38885,43903,CD93,PDGFRB
33337,35590,PLA2G4C,PRKAA1
14149,9918,BMPR2,SCRIB
29352,36408,COPS4,RPL28
50805,28971,EIF3D,FARSA
28478,24689,NRAS,TP53I3
28102,9497,CYP2D6,ERMP1
6458,17365,CTSB,KIT
2669,28478,ADAMTSL5,NRAS
30825,44984,PTEN,ZP3
19034,19054,MUS81,ACP6
2645,32296,ANAPC13,HBS1L
49128,33595,BNIP1,TTC4
19034,6231,MUS81,DUS3L
10751,30310,POLE,RAD51
18651,33497,CDK9,SMARCB1
16371,27162,CDCP1,LEFTY1
49830,8917,ABL1,CRCP
26734,34023,DICER1,KRAS
38141,15543,CCT2,MLH1
47527,10553,BCL10,MAP3K1
45525,45629,MEN1,NF1
22574,53628,ACO2,MIEF1
101,51488,GLE1,SPTLC1
40608,1040,ATP6V1G1,EFR3A
34023,41091,KRAS,SF3B6
39043,37669,CSK,RECQL
13616,34023,MMP7,KRAS
34023,32329,KRAS,OR1F1
34023,41193,KRAS,DYNC1I2
26282,53017,EDF1,SLC22A2
38126,7262,HRAS,POU2F2
37687,43260,BCAP29,TOMM40
45921,33409,HSF1,TMED6
18810,41869,CYP3A4,RCAN2
51832,21818,ESRP2,PTK6
40108,43426,CDS1,STYK1
42957,41448,ATR,LIG1
41521,458,FBXW7,LCE1B
39043,39638,CSK,GXYLT1
37717,50823,AMDHD2,BCKDK
10164,32296,ARGLU1,HBS1L
47871,2358,EDRF1,TAF5
51345,18049,CDA,MAP2K7
38427,1695,PAM16,SMPD2
38126,1391,HRAS,SFPQ
26411,37758,MAPKAP1,UQCRB
28478,18337,NRAS,YES1
34023,44119,KRAS,USP49
48312,34101,DCK,PI4K2A
10547,9064,CD9,MAP2
41869,19786,RCAN2,RET
20234,7733,YWHAH,MRPL42
35470,50394,CKAP5,MED1
53918,43903,FOSL1,PDGFRB
34780,52125,PTCD1,SLC46A3
45252,43199,ADAM9,SPATA2
30825,27097,PTEN,LRRC8A
26743,25450,AURKA,CYP2C9
12242,3471,CSF1R,CXCR4
47506,38126,FBXO36,HRAS
52477,47129,ABCB1,NFATC2IP
36110,37190,GLUD2,MRPL13
25205,41430,INPP5A,MRPL15
33473,40375,AARS2,CHMP2A
32111,11501,GTF2H1,KDR
41503,23742,MRPS18B,NACA
34023,48198,KRAS,SPECC1
10723,50107,MYC,TBL1X
32574,716,LONP1,TUBGCP3
53953,37100,TP53,CSNK2A1
17187,10723,ARL6,MYC
30825,41311,PTEN,DCTN2
17896,34527,DRD2,MSH2
23192,14550,IL12A,STMN1
30825,8277,PTEN,LBX1
39043,11169,CSK,ZHX3
44332,34023,KCNV1,KRAS
50760,18429,BCL2,SKP2
33796,6302,IL6,STAT3
8984,13287,CDC25B,FAM126B
49633,13705,ENO3,GAPDH
23173,51758,ZMYM2,CCNT2
20693,7297,PTGS1,TMEFF1
13654,7884,USP6,SUFU
19034,2418,MUS81,SRP9
52477,50,ABCB1,ZNF140
16844,53982,NAE1,SETX
13921,51172,MGRN1,HCFC1
12217,35108,MAPK1,UFD1
15262,51717,PTPRF,TUBB1
14014,16409,CDK6,USP1
28971,29485,FARSA,VPS72
31220,16844,CCNB1,NAE1
44451,33595,TRPM7,TTC4
48312,34289,DCK,PLK3
45720,20238,PPWD1,WDR70
19357,7309,MPP6,ZNF805
49128,13062,BNIP1,GTF2H4
51610,34662,BCL2L11,MCL1
13705,51764,GAPDH,MDH2
32070,1998,RALGPS1,OVOL2
18501,5954,METRN,RHBDF1
33477,48893,LCK,PIM2
34023,17036,KRAS,SAP130
9185,28308,RNGTT,TAF2
17523,39788,PARP1,PTPA
52809,46538,HMBOX1,MCPH1
53953,27351,TP53,NTRK1
42908,6914,INTS5,MED23
38411,23742,COQ2,NACA
15430,22412,TUBA1A,RPL11
29548,34023,CFL1,KRAS
53201,15242,MYB,RMND5A
28986,11564,CRLS1,ITPA
35985,10751,EXOSC9,POLE
36443,27350,RPL13,TRNAU1AP
31873,53870,GTPBP4,TRRAP
6787,19737,ANKFY1,ARF1
46070,35489,CTNNBL1,TIPIN
47862,716,PSMD6,TUBGCP3
24504,18927,HNRNPC,TBL1XR1
26411,37890,MAPKAP1,NDUFB2
11786,13600,CYP3A5,IL4
35222,26198,CPSF1,CYP2C19
10800,39887,FOXM1,UBE2C
32111,48303,GTF2H1,MTOR
19034,15528,MUS81,FAM214B
32400,4778,ABCC10,RAD9A
14628,790,CETN2,POLM
36408,716,RPL28,TUBGCP3
40036,48587,ADCY7,MLF1
4961,38418,KCTD10,MRPS9
29132,11778,ALB,FLT3LG
27351,40900,NTRK1,RCAN1
49641,44763,IRF4,TPX2
12190,36916,MBD4,PDGFRA
16844,14026,NAE1,RBBP8
20631,34023,NCAPD2,KRAS
16613,16041,RBM25,ZNF574
28254,45389,CIT,DOT1L
11786,45698,CYP3A5,PGLS
19034,26094,MUS81,IDH2
42908,716,INTS5,TUBGCP3
21775,1118,ABCA3,PRMT8
17203,1766,KLK5,KLK6
38126,14900,HRAS,POLR3F
1395,5451,DDAH1,PLXNA1
2940,34023,CDC16,KRAS
11302,19786,DLAT,RET
11570,23739,ETAA1,OAS3
32332,20991,BEX3,TCEAL9
53365,38141,ADPRM,CCT2
10337,27351,COL3A1,NTRK1
42915,51201,TACSTD2,F2RL1
30024,15262,MAP4,PTPRF
25450,1153,CYP2C9,GLIPR1
4405,11003,ATP6V0E1,CYP1A2
14843,30825,PYGM,PTEN
27700,52885,MCM2,RAD54L
16654,14296,PTTG1,NMT2
34965,33595,PDCD7,TTC4
26743,716,AURKA,TUBGCP3
22607,16844,ITM2C,NAE1
40808,18920,MRPL14,TFCP2L1
16973,44098,IKZF5,NSMCE4A
42957,36808,ATR,MST1R
34096,10723,EREG,MYC
38126,17968,HRAS,WNT9A
48744,53953,RSPO2,TP53
35799,34023,ALKBH7,KRAS
44930,3471,ABCG2,CXCR4
35549,8243,CUX1,ORM1
20238,16041,WDR70,ZNF574
3799,22479,DONSON,RFC4
52477,12161,ABCB1,SORBS1
47533,31991,NECTIN4,RASSF3
6804,23129,ABCC4,EZH2
46070,31256,CTNNBL1,XRN2
4073,3355,CAPRIN1,FH
18361,16041,CAPZB,ZNF574
10136,31347,RBP2,S100A11
38584,21318,NFATC2,RAPSN
16104,9809,PRKCA,ABL2
32950,24050,FAM193B,MAPK8IP3
37027,10723,UBE2I,MYC
30282,46229,AOX1,DHX37
23742,9628,NACA,RPL35A
53893,34023,EIF2S2,KRAS
29447,42681,ARL2,RTF1
46410,30552,LAMB2,PTPN21
22317,47943,PPARA,TSC1
53503,1782,AMOTL2,LPP
49830,48408,ABL1,SAT1
26610,35222,SAFB2,CPSF1
19485,30462,MDM2,PMS2
12772,50668,PIK3C2B,UMPS
34176,42908,GEMIN2,INTS5
4961,28494,KCTD10,METTL17
53678,34023,GCM2,KRAS
4403,4077,CNGA3,CYP1B1
39155,42906,BRD2,MAP2K5
33756,47496,SLC35G5,TSC22D2
5015,6628,ABCC2,PEX1
28102,40401,CYP2D6,RAP1A
1159,44847,MPHOSPH6,SLC39A9
43746,6085,SEC23IP,PTAR1
52477,4469,ABCB1,SKP1
30844,30024,EEPD1,MAP4
28308,45321,TAF2,ZWINT
18256,15572,MT1X,XRCC2
38126,17695,HRAS,TMEM109
40977,12772,CSF3R,PIK3C2B
31873,33430,GTPBP4,MED28
5497,6085,CNIH1,PTAR1
53953,47697,TP53,IRAK1
30462,26644,PMS2,TNFRSF10B
13503,34023,FBXO44,KRAS
1388,8243,CA2,ORM1
2794,22549,ARMC1,EXOC5
39043,37044,CSK,CDH19
5452,10723,DNHD1,MYC
41374,47574,MAPK12,NHP2
48566,49483,MRPL32,PSMA2
38104,33595,PAFAH1B1,TTC4
50820,4153,POLD1,PRPF31
5015,26539,ABCC2,PTPRD
40916,53215,GPAT3,ASPH
31347,43529,S100A11,TSC22D3
44930,8917,ABCG2,CRCP
20693,40900,PTGS1,RCAN1
36403,46551,ARNT,PRUNE1
7733,14026,MRPL42,RBBP8
50888,291,ENO1,LDHB
46039,23742,MZT1,NACA
53953,50668,TP53,UMPS
48303,4778,MTOR,RAD9A
47874,12111,API5,ZNF780A
32559,25037,MAPKAPK3,SLC29A2
28502,18449,PGAM5,CHAC2
44243,50154,RNASEL,SLC28A1
45392,34023,RB1CC1,KRAS
11570,31496,ETAA1,IGFBP4
16654,18632,PTTG1,RFTN1
16844,14508,NAE1,NAV3
10016,36243,MIER2,DCTN1
47137,28478,EXOSC8,NRAS
11003,16287,CYP1A2,TBCCD1
31384,50152,ABCB5,PRKCSH
13062,8122,GTF2H4,TAZ
8304,38317,DDR2,GRM2
7862,48393,WEE1,CHEK2
44930,41237,ABCG2,CELF2
50805,11910,EIF3D,MRPL46
15455,26176,ITGB1,PSMD9
27351,40081,NTRK1,TAS2R14
39043,41456,CSK,CASP6
16844,50990,NAE1,TAS1R1
9064,37302,MAP2,MOK
38126,31755,HRAS,MYLK3
33036,43505,EML3,MAP3K11
16501,40159,BCHE,SERINC2
11786,4797,CYP3A5,FZD2
4278,38126,CLIC1,HRAS
8248,10723,SCYL1,MYC
46379,7129,HMGCR,MC1R
53028,20693,PDLIM5,PTGS1
34023,45629,KRAS,NF1
21806,36707,HSPA5,PELO
10801,48312,BIRC5,DCK
11570,23364,ETAA1,ZNF839
44930,40081,ABCG2,TAS2R14
31356,13599,POLR2K,YTHDC1
1156,18999,AOC3,NFYA
18967,11089,MED14,PMF1
29132,50366,ALB,TRIM24
49351,28478,SRP14,NRAS
26411,11089,MAPKAP1,PMF1
34299,34023,BCL2L13,KRAS
7610,12242,CCL23,CSF1R
38141,13654,CCT2,USP6
40913,35439,CYP19A1,KCNQ4
38126,10139,HRAS,NCKAP1
16485,19855,RAB1A,PEX2
51345,12061,CDA,RIPK1
46382,11003,LDLRAD4,CYP1A2
37030,53953,TRAPPC9,TP53
35680,20976,AKR1B10,RASL10B
33286,23026,ATP6AP1,MBTPS2
43566,23802,RAB6A,EIPR1
35222,45958,CPSF1,CYP3A7
44481,53017,CLTA,SLC22A2
16654,437,PTTG1,MYO1B
39241,50042,CMAS,ERH
32059,38126,CARHSP1,HRAS
38126,116,HRAS,TAOK1
12798,28478,KCMF1,NRAS
257,34023,BMPR1A,KRAS
46071,25867,SERPINB3,BRCA2
8984,5206,CDC25B,VEGFC
41374,13554,MAPK12,SSTR5
11818,19259,BRAF,HDAC2
49801,18337,SRC,YES1
30825,49707,PTEN,HIVEP3
34102,32078,NARS2,FHIT
134,20726,CDK4,DNTT
22515,13804,NPHP4,STAU2
7683,27350,PNN,TRNAU1AP
51552,15455,GTF2IRD1,ITGB1
26743,38823,AURKA,TRMT5
29132,551,ALB,LRRC37A3
2700,4189,CASK,PPP1CC
27819,20693,PPP3CA,PTGS1
17365,42349,KIT,RARA
12709,10723,POLR2E,MYC
34023,53068,KRAS,HINFP
10723,15942,MYC,AURKB
52477,48442,ABCB1,TLE1
17365,1177,KIT,PLCB1
34023,720,KRAS,RBM39
45406,47496,GNRH1,TSC22D2
24279,53090,HCRTR1,PRODH
13315,12217,CASP8,MAPK1
34023,16483,KRAS,MPDZ
34023,16774,KRAS,MASTL
38126,29444,HRAS,LGALSL
16654,51535,PTTG1,CFB
52477,41237,ABCB1,CELF2
36119,22652,CDK16,KLF12
11099,28102,CLEC2D,CYP2D6
5543,15135,IFNGR1,SLC38A2
18866,2888,CLDN3,SLC16A1
27073,47776,TNFAIP3,STK10
16502,33430,CENPP,MED28
19010,4077,CBR1,CYP1B1
29132,1153,ALB,GLIPR1
31356,37427,POLR2K,SKIV2L
16654,38039,PTTG1,ALDH1A3
12539,30825,RNF113B,PTEN
16654,36904,PTTG1,KLF7
29677,7120,SNX33,SERPINH1
20726,16903,DNTT,RRM1
4113,15919,BLM,BLOC1S1
10723,52187,MYC,SND1
52919,53265,NUP54,RAE1
6685,9753,ELP3,TRIM35
31356,1629,POLR2K,TUBGCP5
47129,38919,NFATC2IP,SLC22A1
34023,6166,KRAS,MYBL2
5380,34023,SEM1,KRAS
28478,10651,NRAS,TWIST1
43591,18345,DAXX,E2F3
8397,20693,KAT6A,PTGS1
36738,42964,MYL6,PSKH2
44930,1177,ABCG2,PLCB1
47648,5607,MYH2,ACSM1
47574,26644,NHP2,TNFRSF10B
25450,1118,CYP2C9,PRMT8
8984,863,CDC25B,CHRNA2
