gene_a.name	gene_a.identifier	gene_b.name	gene_b.identifier	SL.cell_line	SL.pubmed_id	SL.source	SL.statistic_score
AKT1	207	MCL1	4170	rhabdomyosarcoma_D012208	23684925	Text Mining	0.1775
FABP4	2167	MCL1	4170	LAML	28319085	CRISPR/CRISPRi	0.68
EGFR	1956	MCL1	4170	ALK-dependent cancers_D009369	24618813	Text Mining	0.1775
LCK	3932	MCL1	4170	LAML	28319085	CRISPR/CRISPRi	0.68
MAPK1	5594	MCL1	4170	rhabdomyosarcoma_D012208	23684925	Text Mining	0.1775
ALK	238	MCL1	4170	ALK-dependent cancers_D009369	24618813	Text Mining	0.1775
CSK	1445	TMEM233	387890	null	29987050	High Throughput	null
DPY19L1	23333	TAS1R1	80835	null	29959327	Computational Prediction	0.3
DNAAF5	54919	TAS1R1	80835	null	29959327	Computational Prediction	0.3
NAE1	8883	TAS1R1	80835	A375;A375;A375	23100467	GenomeRNAi	0.611
KRAS	3845	ITGA3	3675	COAD	24104479	Text Mining	0.6
CASP8	841	CITED2	10370	hepatocellular carcinoma_D006528	23212831	Text Mining	0.1775
QRSL1	55278	CITED2	10370	null	29959327	Computational Prediction	0.3
BLM	641	CDCP1	64866	COAD	24104479	Text Mining	0.6
PTTG1	9232	CDCP1	64866	COAD	24104479	Text Mining	0.6
CSK	1445	YWHAQ	10971	null	29987050	High Throughput	null
NAE1	8883	RPS14	6208	HCT116;HCT116	23100467	GenomeRNAi	0.575
NRAS	4893	RPS14	6208	DLD-1	19490893	GenomeRNAi	0.44
KRAS	3845	RPS14	6208	DLD-1	19490893	GenomeRNAi	0.44
BLM	641	RPS14	6208	COAD	24104479	Text Mining	0.6
RPL11	6135	RPS14	6208	null	25171417	Computational Prediction	0.3
RPL27A	6157	RPS14	6208	null	25171417	Computational Prediction	0.3
HRAS	3265	RPS14	6208	DLD-1	19490893	GenomeRNAi	0.44
REXO2	25996	RNF43	54894	null	25171417	Computational Prediction	0.3
HSPA4	3308	TTC37	9652	null	25171417	Computational Prediction	0.2
TAF9	6880	TTC37	9652	null	25171417	Computational Prediction	0.2
ETAA1	54465	ACY1	95	null	31615875	High Throughput	null
COG3	83548	COPE	11316	Jurkat	31300006	CRISPR/CRISPRi	0.07
KRAS	3845	COPE	11316	null	28700943	High Throughput	null
MTRES1	51250	COPE	11316	Jurkat	31300006	CRISPR/CRISPRi	0.21
CENPM	79019	COPE	11316	Jurkat	31300006	CRISPR/CRISPRi	0.04
EGFR	1956	TBL1Y	90665	null	27655641	RNAi Screen	0.4
GMIP	51291	HSH2D	84941	null	25171417	Computational Prediction	0.2
KRAS	3845	CHST5	23563	COAD	24104479	Text Mining	0.6
ITPA	3704	MRPS26	64949	null	25171417	Computational Prediction	0.2
C12orf65	91574	MPHOSPH9	10198	null	25171417	Computational Prediction	0.2
ETAA1	54465	H3C8	8355	null	31615875	High Throughput	null
BCL2	596	CASP9	842	breast cancer_D001943	23402310	Text Mining	0.1775
CASP3	836	CASP9	842	breast cancer;castration-resistant prostate cancer;non-small cell lung cancer;oral cancer;gingival c	23402310;23566222;16585163;22695120	Text Mining	0.4305
AKT1	207	CASP9	842	castration-resistant prostate cancer;oral cancer;gingival cancer_D011471;D009062;D005891;gingival cancer_D009062	23566222;22695120	Text Mining	0.1775
BAX	581	CASP9	842	non-small cell lung cancer_D002289	16585163	Text Mining	0.1775
AR	367	CASP9	842	castration-resistant prostate cancer_D011471	23566222	Text Mining	0.1775
HRAS	3265	ZNF132	7691	DLD-1	19490893	GenomeRNAi	0.44
KRAS	3845	ZNF132	7691	DLD-1	19490893	GenomeRNAi	0.44
NRAS	4893	ZNF132	7691	DLD-1	19490893	GenomeRNAi	0.44
EXOSC4	54512	SSBP1	6742	Jurkat	31300006	CRISPR/CRISPRi	0.03
NACA	4666	SSBP1	6742	Jurkat	31300006	CRISPR/CRISPRi	0.01
IGFBP3	3486	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
GLRX3	10539	SSBP1	6742	null	25171417	Computational Prediction	0.3
MED24	9862	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.17
BRCA1	672	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.518
PPM1D	8493	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
RAD9A	5883	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
ECHDC1	55862	SSBP1	6742	null	25171417	Computational Prediction	0.3
H4C1	8359	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
GTF2H1	2965	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.518
CACTIN	58509	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.17
POP7	10248	SSBP1	6742	null	25171417	Computational Prediction	0.2
KRAS	3845	SSBP1	6742	null	28700943	High Throughput	null
PGK1	5230	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.26
MT1X	4501	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
CDK6	1021	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.527
SESN2	83667	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
PSMB7	5695	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.19
RAD51	5888	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.473
SLC34A2	10568	SSBP1	6742	null	29959327	Computational Prediction	0.3
POLM	27434	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
H2AC8	3012	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.524
NHP2	55651	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.524
MUL1	79594	SSBP1	6742	null	29959327	Computational Prediction	0.3
POLE	5426	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.533
ATM	472	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
MARCHF5	54708	SSBP1	6742	null	25171417	Computational Prediction	0.3
DNTT	1791	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.521
KCTD10	83892	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.38
PSMC1	5700	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.2
PARP2	10038	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.557
CETN2	1069	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
POLR2A	5430	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.494
DLAT	1737	SSBP1	6742	null	25171417	Computational Prediction	0.3
RPL13A	23521	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.497
PARP1	142	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
CDK4	1019	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
MAPK12	6300	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
RAD23B	5887	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
STIP1	10963	SSBP1	6742	null	25171417	Computational Prediction	0.3
PMS2	5395	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
REXO2	25996	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.26
POLR2K	5440	SSBP1	6742	Jurkat	31300006	CRISPR/CRISPRi	0.06
CDK2	1017	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
RAD17	5884	SSBP1	6742	null	25171417	Computational Prediction	0.3
RELA	5970	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
BID	637	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
RPLP1	6176	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.23
MTOR	2475	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
MDM2	4193	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
POLD4	57804	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.524
NUP54	53371	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.26
POLA1	5422	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.21
NFE2L1	4779	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.2
IGF1	3479	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.521
IGHMBP2	3508	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.542
POLD1	5424	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.536
RRM1	6240	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.5
ERCC1	2067	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.518
CKAP5	9793	SSBP1	6742	K562	31300006	CRISPR/CRISPRi	0.16
EGFR	1956	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.512
FBXW7	55294	SSBP1	6742	null	26354767	Low Throughput	null
RBX1	9978	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.53
KDR	3791	SSBP1	6742	"A549,PC3,MDA468"	3965078	Decipher	0.533
HOXA9	3205	SEC31A	22872	null	29959327	Computational Prediction	0.3
CSHL1	1444	LY9	4063	null	25171417	Computational Prediction	0.2
RTTN	25914	ZNF407	55628	null	25171417	Computational Prediction	0.2
LPCAT1	79888	PTGR1	22949	null	29959327	Computational Prediction	0.3
CSK	1445	ARMC1	55156	null	29987050	High Throughput	null
INTS5	80789	NEMF	9147	K562;Jurkat	31300006	CRISPR/CRISPRi	0.15
MED28	80306	NEMF	9147	K562	31300006	CRISPR/CRISPRi	0.33
EXOSC9	5393	NEMF	9147	Jurkat	31300006	CRISPR/CRISPRi	0.04
OR2T8	343172	SERPINB3	6317	null	29959327	Computational Prediction	0.3
OR2T33	391195	SERPINB3	6317	null	29959327	Computational Prediction	0.3
OC90	729330	SERPINB3	6317	null	29959327	Computational Prediction	0.3
C20orf202	400831	DEFB118	117285	null	25171417	Computational Prediction	0.3
B4GALNT3	283358	DEFB118	117285	null	25171417	Computational Prediction	0.2
CACNG6	59285	DEFB118	117285	null	25171417	Computational Prediction	0.2
PTTG1	9232	KISS1R	84634	COAD	24104479	Text Mining	0.6
ABCB1	5243	MAPKAPK3	7867	MIAPaCa-2	19519883	GenomeRNAi	0.473
CMPK1	51727	MAPKAPK3	7867	MIAPaCa-2	19519883	GenomeRNAi	0.473
KRAS	3845	MAPKAPK3	7867	null	27655641	RNAi Screen	0.4
DCK	1633	MAPKAPK3	7867	MIAPaCa-2	19519883	GenomeRNAi	0.473
CDA	978	MAPKAPK3	7867	MIAPaCa-2	19519883	GenomeRNAi	0.473
ABCC10	89845	MAPKAPK3	7867	MIAPaCa-2	19519883	GenomeRNAi	0.473
RAB5IF	55969	NFS1	9054	null	25171417	Computational Prediction	0.2
KRAS	3845	IMP4	92856	null	28700943	High Throughput	null
KRAS	3845	MISP	126353	COAD	24104479	Text Mining	0.6
HRAS	3265	LOC284898	284898	DLD-1	19490893	GenomeRNAi	0.449
KRAS	3845	LOC284898	284898	DLD-1	19490893	GenomeRNAi	0.449
BLM	641	ALYREF	10189	COAD	24104479	Text Mining	0.6
CSK	1445	ACAD8	27034	null	29987050	High Throughput	null
CENPK	64105	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.2
NUBP1	4682	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.28
EXOSC9	5393	PPAT	5471	Jurkat	31300006	CRISPR/CRISPRi	0.28
HSCB	150274	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.15
EIF3C	8663	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.26
KRAS	3845	PPAT	5471	null	28700943	High Throughput	null
MED28	80306	PPAT	5471	K562;Jurkat	31300006	CRISPR/CRISPRi	0.3
MTRES1	51250	PPAT	5471	K562;Jurkat	31300006	CRISPR/CRISPRi	0.21
COPE	11316	PPAT	5471	Jurkat	31300006	CRISPR/CRISPRi	0.01
CENPM	79019	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.18
INTS5	80789	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.28
EIF3D	8664	PPAT	5471	K562;Jurkat	31300006	CRISPR/CRISPRi	0.13
POLR2K	5440	PPAT	5471	Jurkat	31300006	CRISPR/CRISPRi	0.08
CDC26	246184	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.36
MASTL	84930	PPAT	5471	K562	31300006	CRISPR/CRISPRi	0.36
NACA	4666	PPAT	5471	Jurkat	31300006	CRISPR/CRISPRi	0.16
CSK	1445	HOOK1	51361	null	29987050	High Throughput	null
KRAS	3845	INMT	11185	null	28700943	High Throughput	null
NPTX2	4885	SP2	6668	null	29959327	Computational Prediction	0.3
BLM	641	SSH1	54434	COAD	24104479	Text Mining	0.6
FLCN	201163	SSH1	54434	BHD-origin renal cell carcinoma;thyroid carcinoma_D002292;D013964	23416984	Text Mining	0.1775
AUP1	550	MYOC	4653	null	29959327	Computational Prediction	0.3
MRPS5	64969	MYOC	4653	null	29959327	Computational Prediction	0.3
NRAS	4893	SF3B6	51639	DLD-1;DLD-1	19490893	GenomeRNAi	0.53
KRAS	3845	SF3B6	51639	DLD-1;DLD-1	19490893	GenomeRNAi	0.53
HRAS	3265	SF3B6	51639	DLD-1;DLD-1	19490893	GenomeRNAi	0.53
EGFR	1956	NEDD9	4739	null	27655641	RNAi Screen	0.4
KRAS	3845	EFCAB12	90288	null	27655641	RNAi Screen	0.4
ANKFY1	51479	LMBRD1	55788	null	25171417	Computational Prediction	0.3
TM9SF2	9375	LMBRD1	55788	null	25171417	Computational Prediction	0.3
CSK	1445	ERLEC1	27248	null	29987050	High Throughput	null
NAE1	8883	WRNIP1	56897	HCT116;HCT116	23100467	GenomeRNAi	0.575
PTEN	5728	WRNIP1	56897	COAD	24104479	Text Mining	0.6
CSK	1445	MTRF1	9617	null	29987050	High Throughput	null
HRAS	3265	WDR97	340390	DLD-1	19490893	GenomeRNAi	0.443
FANCD2	2177	TMPO	7112	null	25171417	Computational Prediction	0.3
MPHOSPH9	10198	TMPO	7112	null	25171417	Computational Prediction	0.2
ZNF107	51427	TMPO	7112	null	25171417	Computational Prediction	0.3
RFC5	5985	TMPO	7112	null	25171417	Computational Prediction	0.2
TIMELESS	8914	TMPO	7112	null	25171417	Computational Prediction	0.2
RAD51AP1	10635	TMPO	7112	null	25171417	Computational Prediction	0.2
CDCA3	83461	TMPO	7112	null	25171417	Computational Prediction	0.2
SENP1	29843	TMPO	7112	null	25171417	Computational Prediction	0.2
PA2G4	5036	TMPO	7112	null	25171417	Computational Prediction	0.2
ANAPC7	51434	TMPO	7112	null	25171417	Computational Prediction	0.2
NEMP1	23306	TMPO	7112	null	25171417	Computational Prediction	0.2
MYC	4609	OR4C3	256144	HMEC	22157079	GenomeRNAi	0.542
ARL2	402	GNL3L	54552	Jurkat	31300006	CRISPR/CRISPRi	0.04
EIF3M	10480	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.23
GFER	2671	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.3
ANAPC13	25847	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.28
ACTL6A	86	GNL3L	54552	K562;Jurkat	31300006	CRISPR/CRISPRi	0.14
EBNA1BP2	10969	GNL3L	54552	K562;Jurkat	31300006	CRISPR/CRISPRi	0.28
CDC23	8697	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.27
COPS4	51138	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.16
COG3	83548	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.37
CAPZB	832	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.18
EFR3A	23167	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.16
CDK1	983	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.31
EXOSC4	54512	GNL3L	54552	Jurkat	31300006	CRISPR/CRISPRi	0.02
BNIP1	662	GNL3L	54552	Jurkat	31300006	CRISPR/CRISPRi	0.08
CACTIN	58509	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.16
CNOT1	23019	GNL3L	54552	K562	31300006	CRISPR/CRISPRi	0.15
KRAS	3845	DCTN5	84516	COAD	24104479	Text Mining	0.6
CALU	813	CD63	967	null	25171417	Computational Prediction	0.3
PLAT	5327	CD63	967	null	25171417	Computational Prediction	0.3
SMPD1	6609	CD63	967	null	25171417	Computational Prediction	0.3
GLB1	2720	CD63	967	null	25171417	Computational Prediction	0.3
PLOD1	5351	CD63	967	null	25171417	Computational Prediction	0.3
MYC	4609	WDR82	80335	HMEC	22157079	GenomeRNAi	0.56
PTTG1	9232	TAF11	6882	COAD	24104479	Text Mining	0.6
CSK	1445	STX3	6809	null	29987050	High Throughput	null
NAE1	8883	STX3	6809	A375;A375	23100467	GenomeRNAi	0.575
CSK	1445	WDR31	114987	null	29987050	High Throughput	null
PSMF1	9491	RBCK1	10616	null	25171417	Computational Prediction	0.2
SP3	6670	USP37	57695	null	25171417	Computational Prediction	0.2
MYC	4609	USP37	57695	HMEC	22157079	GenomeRNAi	0.551
HMGB2	3148	USP37	57695	null	25171417	Computational Prediction	0.3
COL3A1	1281	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.521
CACNA2D2	9254	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
HLA-DRB5	3127	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CCL23	6368	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
ALDOC	230	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
CLDN3	1365	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.515
FLT3LG	2323	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.518
CRCP	27297	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
DDAH1	23576	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.515
NFATC1	4772	ORM1	5004	K562	20609354	GenomeRNAi	0.44
CEACAM1	634	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
ALG10B	144245	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
ANK3	288	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CLTC	1213	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
ITCH	83737	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
ADAM22	53616	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CLPX	10845	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
GLT8D1	55830	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
NUDT3	11165	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
KAT6A	7994	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
HLA-DRA	3122	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
IFI16	3428	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
IL27RA	9466	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
DBF4	10926	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.557
EPB42	2038	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
ACSL1	2180	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.551
ATP2C2	9914	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CAPN6	827	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CLTA	1211	ORM1	5004	K562;K562;K562;K562	20609354	GenomeRNAi	0.587
CELF2	10659	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.515
PGAP2	27315	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
MAPK11	5600	ORM1	5004	K562	20609354	GenomeRNAi	0.449
IL7	3574	ORM1	5004	K562	20609354	GenomeRNAi	0.446
GPC5	2262	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.521
LIPE	3991	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.554
KCNJ13	3769	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.521
CRYBB2	1415	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.572
CYP2B6	1555	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.566
GAPDH	2597	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
FCN3	8547	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.53
CA2	760	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
H3C7	8968	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CUX1	1523	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CTDSPL	10217	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
CST4	1472	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
GTF2H5	404672	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.515
INTS6L	203522	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CAPRIN1	4076	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CXCR4	7852	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
MBD4	8930	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.548
CADM4	199731	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.569
LRRC37A3	374819	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.515
LAPTM4B	55353	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
ATP7A	538	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
GLIPR1	11010	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
EGR3	1960	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.518
ERMP1	79956	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
HIF3A	64344	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.521
FKBP11	51303	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
OR2F1	26211	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CD93	22918	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CARS1	833	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
EHF	26298	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
IL4	3565	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
NCOA3	8202	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
ABCB6	10058	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
CTSB	1508	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
NFATC2IP	84901	ORM1	5004	K562	20609354	GenomeRNAi	0.44
ATF5	22809	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
CSHL1	1444	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.569
NKRF	55922	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.512
GGCX	2677	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CALM1	801	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
BAD	572	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.548
API5	8539	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CA5A	763	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.524
NRG2	9542	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
FZD2	2535	ORM1	5004	K562	20609354	GenomeRNAi	0.44
MORC3	23515	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
AZGP1	563	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
MAML1	9794	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
MGAT2	4247	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
FZD8	8325	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.578
CPSF1	29894	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
IRF7	3665	ORM1	5004	K562;K562;K562	20609354	GenomeRNAi	0.551
GBP4	115361	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
CNR1	1268	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
ATP6V0E1	8992	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CAMK2G	818	ORM1	5004	K562	20609354	GenomeRNAi	0.44
AKR7A2	8574	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CLEC2D	29121	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
CXCR3	2833	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.509
CAMK2B	816	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.53
DLAT	1737	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
EDF1	8721	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
ITGB1	3688	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.503
ABO	28	ORM1	5004	null	25171417	Computational Prediction	0.2
LDLRAD4	753	ORM1	5004	K562;K562	20609354	GenomeRNAi	0.506
FOSL1	8061	ORM1	5004	K562	20609354	GenomeRNAi	0.473
KRAS	3845	ITPK1	3705	null	27655641	RNAi Screen	0.4
KRAS	3845	WDR47	22911	null	28700943	High Throughput	null
MYC	4609	WDR47	22911	HMEC	22157079	GenomeRNAi	0.554
HRAS	3265	NLRC4	58484	DLD-1	19490893	GenomeRNAi	0.452
NAE1	8883	NLRC4	58484	A375;A375;A375	23100467	GenomeRNAi	0.611
KRAS	3845	NLRC4	58484	DLD-1	19490893	GenomeRNAi	0.452
BLM	641	TAB3	257397	COAD	24104479	Text Mining	0.6
HOXC5	3222	TBC1D4	9882	null	29959327	Computational Prediction	0.3
PDGFRA	5156	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
BCR	613	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
MYC	4609	PRMT8	56341	HMEC	22157079	GenomeRNAi	0.548
ALB	213	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
ABCB1	5243	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP2D6	1565	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
ABL1	25	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP1A2	1544	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
ORM1	5004	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
NTRK1	4914	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
PDGFRB	5159	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
ABCA3	21	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
DDR1	780	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP2C9	1559	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP3A5	1577	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP3A4	1576	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CSF1R	1436	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
ABCG2	9429	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP2C19	1557	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
CYP3A7	1551	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
KIT	3815	PRMT8	56341	K562	20609354	GenomeRNAi	0.44
NRAS	4893	TTLL3	26140	DLD-1	19490893	GenomeRNAi	0.44
NAE1	8883	TTLL3	26140	HCT116	23100467	GenomeRNAi	0.5
HRAS	3265	TTLL3	26140	DLD-1	19490893	GenomeRNAi	0.44
FOXA1	3169	GPX2	2877	null	25171417	Computational Prediction	0.2
AVPI1	60370	BAG3	9531	null	25171417	Computational Prediction	0.2
CHMP1A	5119	CORO1B	57175	null	25171417	Computational Prediction	0.3
SLC35B2	347734	TFCP2L1	29842	null	29959327	Computational Prediction	0.3
CD151	977	TFCP2L1	29842	null	29959327	Computational Prediction	0.3
